"id","fact","early_value","early_artifact","corrected_value","correcting_artifact","resolution_date","notes"
"CON-1","Go-live date","15-Sep-2026","DK-01; T-01","12-Nov-2026","DK-06; T-08","2026-09-22","THREE VALUES, TWO MOVES. 15-Sep-2026 stated at kickoff in DK-01 slide 4 and in T-01. Slips to 30-Oct-2026 in EM-068 on 19-Aug-2026, which is the ONLY artifact carrying the 30-Oct value and the ONLY artifact carrying the reason for the first slip. Settles at 12-Nov-2026 at the steering committee of 22-Sep-2026, stated in T-08 and DK-06. Neither T-08 nor DK-06 may state the 30-Oct value; they refer to the current plan date without repeating it. This is demo question Q1 and the stale trap is DK-01."
"CON-2","Root cause of VAR-003, the scheme discount double-count","DBLINK latency on the ORION_PRD link","T-03","Source-side stored procedure timing in FIN_PROD.PKG_MONTH_END","T-05; DOC-04 (ADR-004)","2026-05-06","Hypothesis raised in T-03 on 24-Mar-2026 and echoed as an open line of enquiry in DK-02. Ruled out in T-04 on 14-Apr-2026 with AWR evidence: 4.1 minutes of link wait across the whole load, 38 ms average round trip, 1.2 percent of elapsed, which explains slowness and not a value error. The mechanism itself is written down only in DOC-03 and is fact F-TIMING. T-05 and ADR-004 record the decision without restating the mechanism. This is demo question Q3."
"CON-3","Number of dashboards in scope for go-live","12","DK-01","9","DK-06; T-08","2026-09-22","THREE VALUES, TWO MOVES. 12 in DK-01 slide 9. Cut to 7 by Shalini Iyer in EM-023 on 30-Mar-2026, which is the only artifact stating 7 as a change and the only artifact carrying her reason. T-07 on 05-Aug-2026 ends at seven committed plus two candidates and does not reach a number. DK-05 shows seven wireframes plus two marked CANDIDATE - not funded. Settles at 9 in DK-06 and T-08. NOTE: in conversation the nine-dashboard figure is sometimes attributed to a UAT deck. NO UAT DECK EXISTS IN THIS CORPUS and none is to be created. The figure lives in DK-06 and T-08 only. This is demo question Q4 and the stale trap is DK-01."
"CON-4","Owner of VAR-004","Farida Contractor","XL-01; DK-04; T-06","Ishaan Bhatt","EM-055","2026-07-09","Reassigned on 09-Jul-2026 and recorded in EM-055 and NOWHERE ELSE. XL-01_variance_tracker_v7.xlsx, saved 18-Sep-2026, still shows F. Contractor in the owner cell for VAR-004 because nobody updated it; that staleness is deliberate and must be preserved. Artifacts dated after 09-Jul may show Ishaan Bhatt doing the VAR-004 work but must never state, imply or contrast that the ownership changed, and must never name Farida Contractor as the former owner."
"CON-5","FY26 impact of missing credit notes (VAR-005)","INR 2.4 Cr","DK-03; T-06","INR 3.11 Cr","EM-063; XL-01","2026-07-21","2.4 Cr was a working estimate presented in DK-03 on 05-May-2026 and repeated once in T-06. Shalini Iyer validated 3.11 Cr against the FY26 trial balance and reported it in EM-063 on 21-Jul-2026. The REASON the early estimate was wrong (it covered Apr-2025 to Dec-2025 only and excluded the OFF_INV_ADJ credit note type) appears in EM-063 and nowhere else. XL-01 carries only the validated figure; its Change Log notes an update without repeating the old number. This is demo question Q5."
"CON-6","SCD strategy for DIM_PRODUCT","SCD1","T-04","SCD2","T-05; DOC-04 (ADR-003)","2026-05-06","Karthik Subramanian proposed SCD1 for DIM_PRODUCT at the architecture review on 14-Apr-2026 on the grounds that SKU attributes rarely change. Reversed at design sign-off on 06-May-2026 after the pack-size and MRP change history turned out to matter for the Product Mix and Contribution dashboard. ADR-003 in DOC-04 records the reversal and explicitly supersedes the 14-Apr position. DIM_CUSTOMER was never proposed as anything other than SCD2, so do not conflate the two."
"CON-7","UAT window","10-Aug-2026 to 28-Aug-2026","DK-01","12-Oct-2026 to 06-Nov-2026","EM-089","2026-09-28","Consequence of CON-1. The original window in DK-01 was built around a 15-Sep go-live. EM-068 states only that UAT cannot start before 05-Oct; it does not give a window. The actual dates appear first in EM-089 on 28-Sep-2026 and are echoed in CH-02. T-08 refers to UAT finishing before the cutover weekend without giving dates."
"CON-8","FY26 Q1 reported net revenue","INR 438.6 Cr","DK-02","INR 434.4 Cr restated","XL-01; DK-06","2026-06-12","438.6 Cr is what the warehouse reported before the VAR-001 fix and is the figure Shalini Iyer was refusing to sign. The 4.2 Cr of cancelled invoice lines came out with CHG0021184 on 03-Jun-2026 and the restated figure is 434.4 Cr. DK-03 in May still shows 438.6 because the fix was not yet deployed; that is correct behaviour for a May artifact, not a contradiction to fix."
# THE UAT DECK DOES NOT EXIST. CON-3 records that the nine-dashboard figure is sometimes attributed in conversation to 'the UAT deck'. There is no UAT deck in this corpus and none may be generated. The figure lands in DK-06_steerco_sep2026.pptx and in T-08.
# A contradiction is only a contradiction if BOTH values are actually written somewhere. Every early_value listed here MUST appear in its early_artifact, unmarked and uncorrected, exactly as a stale document would carry it.
# SYNTHETIC — generated for internal demo. No real entity depicted.
