"date","event","artifact_id","participants","canonical_facts_introduced"
"2026-01-28","SOW NL-SOW-2026-014-R2 signed. PO BCPL/IT/2026/00417 raised.","MILESTONE","Rajeev Menon; Ananya Krishnan","Engagement code NL-BCPL-2026-014; fee INR 3.85 Cr; 42 weeks"
"2026-02-04","Kickoff logistics mail: agenda, attendees, room, dial-in, pre-read list.","EM-012","Sneha Pillai; drishti-core; Shalini Iyer; Priya Nair","Kickoff is 11-Feb-2026; phantom file DK-01_kickoff_v2_FINAL_revised.pptx referenced"
"2026-02-11","Kickoff and scope meeting, 15:00-16:00 IST, Andheri East board room Nashik plus remote. Marijke joins for the first 20 minutes.","T-01","Rajeev Menon; Shalini Iyer; Vikram Sethi; Priya Nair; Farida Contractor; Ananya Krishnan; Karthik Subramanian; Ritwik Ghosh; Sneha Pillai; Marijke van der Berg","F-GOLIVE-ORIG (15-Sep-2026); F-LOADSTART; programme phases; steerco cadence; AI-01 to AI-07"
"2026-02-11","Kickoff deck circulated. Slide 4 timeline, slide 9 reporting scope.","DK-01","Ananya Krishnan","F-GOLIVE-ORIG (15-Sep-2026); F-DASH12 (12 dashboards); F-UAT-ORIG (10-28 Aug 2026)"
"2026-02-11","Recording link stub for the kickoff.","REC-01","Sneha Pillai","none; stub only"
"2026-03-03","OLTP discovery session with Ani, 11:00-12:30 IST, online.","T-02","Aniruddh Deshpande; Farida Contractor; Karthik Subramanian; Ishaan Bhatt; Priya Nair; Sneha Pillai","ORION history and Sahyadri Softech; DELETE_FLAG exists (not why it is null); FIN_PROD grant on OMS_PROD mentioned in passing; AI-08 to AI-13"
"2026-03-03","Recording link stub for the OLTP discovery.","REC-02","Sneha Pillai","none; stub only"
"2026-03-05","ORION DDL extracted from OMS_PROD and FIN_PROD and shared with the consultancy.","TECH-SQL-OLTP","Aniruddh Deshpande; Ishaan Bhatt","F-CN-SOURCE (OMS_PROD.CREDIT_NOTE exists at source); DELETE_FLAG column present; DOC_TYPE domain"
"2026-03-06","VAR-008 opened after the February reconciliation does not tie.","MILESTONE","Farida Contractor; Meghna Rao; Shalini Iyer","F-VAR008-CAUSE (LP_DAILY_SALES re-run on Sat 14-Feb-2026 appended a second time)"
"2026-03-09","ORION OLTP schema notes issued.","DOC-01","Aniruddh Deshpande; Ishaan Bhatt","F-DELFLAG (EXCLUSIVE); ORION build history; PII-5 planted in Appendix B"
"2026-03-11","Sample STG_INVOICE_LINE extract shared for mapping work.","TECH-CSV","Ishaan Bhatt; Farida Contractor","sample rows carrying null DELETE_FLAG, a Y row, an STN invoice and a duplicated line"
"2026-03-12","ODI and JDBC connection properties fragment dropped into the shared folder.","TECH-PROPS","Farida Contractor","PII-4 planted (hardcoded password)"
"2026-03-18","Control-M folder BCPL_EDW_DAILY exported for the job inventory.","TECH-CTLM","Farida Contractor","F-LOADSTART (01:00 IST); no FIN_PROD job present"
"2026-03-20","ODI job inventory issued.","DOC-02","Farida Contractor","F-MANUAL (EXCLUSIVE); load plan and mapping inventory; MAP_STG_CREDIT_NOTE disabled 14-Nov-2022"
"2026-03-24","First variance findings, 16:00-16:45 IST, online. VAR-003 is blamed on the database link.","T-03","Ananya Krishnan; Karthik Subramanian; Ishaan Bhatt; Farida Contractor; Shalini Iyer; Vikram Sethi; Sneha Pillai","F-DBLINK-HYP (EXCLUSIVE origin); VAR-001 and VAR-002 opened; F-VAR003-IMPACT 1.7 Cr; AI-14 to AI-21"
"2026-03-24","Recording link stub for the first variance findings. Recording started six minutes late.","REC-03","Sneha Pillai","none; stub only"
"2026-03-26","Discovery findings deck presented to the sponsor group.","DK-02","Karthik Subramanian; Ananya Krishnan","F-TOTAL-970 (INR 9.70 Cr); F-VAR001-CAUSE; F-VAR002-CAUSE; F-VAR008-CAUSE; VAR-003 root cause still open"
"2026-03-30","Shalini cuts the reporting scope for go-live and gives her reason.","EM-023","Shalini Iyer; Ananya Krishnan; Rajeev Menon; Priya Nair","F-DASH7 (7 dashboards); F-DASH7-REASON (EXCLUSIVE)"
"2026-04-02","VAR-008 closed. Batch guard agreed, February figures restated internally.","MILESTONE","Farida Contractor; Ishaan Bhatt","VAR-008 closed 02-Apr-2026"
"2026-04-07","BCPL_EDW DDL extracted while drafting the target model notes.","TECH-SQL-EDW","Ishaan Bhatt","F-CN-STRUCT (no FACT_CREDIT_NOTE in the schema); F-STG-CN-DORMANT"
"2026-04-08","EDW target model notes issued. The credit note gap is written down once, as an aside.","DOC-05","Karthik Subramanian; Ishaan Bhatt","F-CNGAP (EXCLUSIVE); target star schema; grain of FACT_INVOICE_LINE"
"2026-04-14","Architecture review, 14:00-15:15 IST, online. DBLINK hypothesis ruled out with AWR evidence. SCD2 raised for DIM_CUSTOMER. SCD1 proposed for DIM_PRODUCT.","T-04","Karthik Subramanian; Ishaan Bhatt; Farida Contractor; Aniruddh Deshpande; Priya Nair; Neha Gokhale; Ananya Krishnan; Sneha Pillai","F-DBLINK-RULEDOUT; F-SCD2-OPTION; F-SCD1-PROPOSED; AI-22 to AI-29"
"2026-04-14","Recording link stub for the architecture review.","REC-04","Sneha Pillai","none; stub only"
"2026-04-16","Farida objects to SCD2 on load-window grounds.","EM-041","Farida Contractor; Karthik Subramanian; Aniruddh Deshpande; Ananya Krishnan","F-SCD2-OBJECTION (EXCLUSIVE)"
"2026-04-17","DIST-W-0241 Mahalaxmi Distributors reassigned from TER-W-014 to TER-W-011. This is the worked VAR-004 case.","MILESTONE","Vikram Sethi","territory reassignment event used as the VAR-004 example"
"2026-04-22","SCD2 load impact model built and measured on DEV.","XL-03","Karthik Subramanian","F-SCD2-COUNTER (+7 min 28 sec; worst night lands 04:20 IST)"
"2026-04-23","Karthik replies to the objection with the measured analysis attached.","EM-047","Karthik Subramanian; Farida Contractor; Aniruddh Deshpande; Ananya Krishnan","F-SCD2-COUNTER headline restated; attachment XL-03"
"2026-04-24","VAR-005 opened formally after the target model review.","MILESTONE","Shalini Iyer; Karthik Subramanian","VAR-005 opened, owner Shalini Iyer"
"2026-04-27","FIN_PROD.PKG_MONTH_END package body pulled from ORION for review.","TECH-PKG","Aniruddh Deshpande; Karthik Subramanian","F-ADDITIVE (code form); no schedule information"
"2026-04-28","Stored procedure walkthrough issued. This is the only document that explains the VAR-003 mechanism.","DOC-03","Karthik Subramanian; Aniruddh Deshpande","F-TIMING (EXCLUSIVE); F-ADDITIVE (EXCLUSIVE prose form)"
"2026-05-05","Variance root cause deck, version 2. Carries the early credit note estimate.","DK-03","Karthik Subramanian","F-TOTAL-1275 (INR 12.75 Cr); F-CN-24 (2.4 Cr, wrong); F-VAR003-AREA"
"2026-05-06","Design sign-off, 15:30-16:30 IST, online. VAR-003 root cause accepted as source-side. SCD2 confirmed for DIM_CUSTOMER and DIM_PRODUCT.","T-05","Karthik Subramanian; Ananya Krishnan; Shalini Iyer; Farida Contractor; Aniruddh Deshpande; Ishaan Bhatt; Sneha Pillai; Rajeev Menon","F-SCD2-DECISION; F-VAR003-DECISION; F-VAR003-OWNER (Ani); ADR-002 to ADR-005 agreed; AI-30 to AI-36"
"2026-05-06","Recording link stub for the design sign-off.","REC-05","Sneha Pillai","none; stub only"
"2026-05-11","Dimension strategy issued with the ADR register.","DOC-04","Karthik Subramanian","F-SCD2-RATIONALE; F-ADR-REGISTER (ADR-001 to ADR-005)"
"2026-05-19","VAR-004 opened off the back of early SCD2 build testing.","MILESTONE","Ishaan Bhatt; Farida Contractor","F-VAR004-CAUSE; owner at this point is Farida Contractor"
"2026-05-20","ODI mapping export taken for MAP_FACT_INVOICE_LINE, as-was state.","TECH-ODI-XML","Ishaan Bhatt","evidence for F-VAR001-CAUSE and F-VAR002-CAUSE; IKM Oracle Control Append"
"2026-05-31","Data profiling run executed across 14 tables. All profiling figures in the corpus are as of this date.","MILESTONE","Meghna Rao; Neha Gokhale","row counts and DELETE_FLAG distribution frozen"
"2026-06-03","R2026.06 deployed: CHG0021184 DELETE_FLAG filter and CHG0021207 DATE_KEY from INVOICE_DT.","MILESTONE","Farida Contractor; Ishaan Bhatt","VAR-001 and VAR-002 remediated in production"
"2026-06-10","Source to target mapping workbook issued.","XL-04","Ishaan Bhatt","documents the DOC_TYPE <> 'SMP' filter; predates the STN decision"
"2026-06-12","DQ profiling results workbook issued. VAR-001 and VAR-002 closed after verification.","XL-02","Meghna Rao; Neha Gokhale","DQ-R-01 to DQ-R-24; 9 failing rules; VAR-001 and VAR-002 closed"
"2026-06-18","Data quality readout, 11:00-11:50 IST, online.","T-06","Neha Gokhale; Meghna Rao; Ishaan Bhatt; Farida Contractor; Shalini Iyer; Priya Nair; Ananya Krishnan; Sneha Pillai","VAR-006 and VAR-007 opened; F-VAR005-TITLE restated; AI-37 to AI-45"
"2026-06-18","DQ assessment deck presented.","DK-04","Neha Gokhale","F-TOTAL-1315 (INR 13.15 Cr); DQ score 71/100; F-VAR006-CAUSE; F-VAR007-CAUSE; F-VAR004-CAUSE"
"2026-06-18","Recording link stub for the DQ readout.","REC-06","Sneha Pillai","none; stub only"
"2026-06-25","Stock transfer exclusion agreed in the Teams channel and never written down anywhere else.","MILESTONE","Karthik Subramanian; Ishaan Bhatt","F-CHATDEC (EXCLUSIVE to CH-01)"
"2026-07-08","R2026.07 deployed: DOC_TYPE = 'INV' filter and the LP_DAILY_SALES batch guard.","MILESTONE","Farida Contractor; Ishaan Bhatt","the STN exclusion reaches production; VAR-008 guard live"
"2026-07-09","VAR-004 reassigned from Farida to Ishaan. Recorded in this mail and nowhere else.","EM-055","Ananya Krishnan; Farida Contractor; Ishaan Bhatt; Neha Gokhale; Sneha Pillai","F-OWNER4 (EXCLUSIVE)"
"2026-07-14","Marijke escalates the missing credit notes to the CIO.","EM-061","Marijke van der Berg; Rajeev Menon; Shalini Iyer; Wei Lin Tan","F-CN-ESCALATION (EXCLUSIVE)"
"2026-07-21","Shalini reports the validated credit note figure and explains why the earlier estimate was wrong.","EM-063","Shalini Iyer; Marijke van der Berg; Rajeev Menon; Ananya Krishnan; Wei Lin Tan","F-CN-31 (3.11 Cr); F-CN-METHOD (EXCLUSIVE)"
"2026-08-05","Dashboard scope workshop, 10:00-11:30 IST, Andheri East plus remote. Wei Lin joins for the first hour. Ends at seven committed plus two candidates.","T-07","Ritwik Ghosh; Priya Nair; Vikram Sethi; Shalini Iyer; Meghna Rao; Ananya Krishnan; Sneha Pillai; Wei Lin Tan","F-DASH-CANDIDATES; measure definitions; primary versus secondary sales argument; AI-46 to AI-55"
"2026-08-05","Recording link stub for the dashboard workshop. Audio only for the first 22 minutes.","REC-07","Sneha Pillai","none; stub only"
"2026-08-07","Dashboard wireframe pack issued: seven committed, two marked CANDIDATE - not funded.","DK-05","Ritwik Ghosh","F-DASH-CANDIDATES; wireframes for D01 D03 D05 D06 D07 D09 D12 plus D04 and D11"
"2026-08-19","Go-live slips. First revised date and the reason.","EM-068","Ananya Krishnan; Rajeev Menon; Shalini Iyer; Marijke van der Berg; drishti-core","F-GOLIVE-SLIP1 (30-Oct-2026, EXCLUSIVE); F-GOLIVE-REASON1 (EXCLUSIVE)"
"2026-08-21","Five level forwarded chain on the February duplicate load, sent to Neha for the audit trail. Quoted history runs back to 06-Mar-2026.","EM-072","Farida Contractor; Neha Gokhale; Ishaan Bhatt; Vikram Sethi (in quoted history); Shalini Iyer (in quoted history)","F-VAR008-CAUSE restated; February reconciliation history"
"2026-08-26","CHG0021339 deployed: DIM_TAX_RATE with effective dating. Sneha circulates the tracker and forgets the attachment.","EM-075","Sneha Pillai; drishti-core; Shalini Iyer; Farida Contractor","phantom file XL-01_variance_tracker_v6.xlsx referenced; VAR-006 remediation live"
"2026-08-27","GST restatement thread closes out.","EM-078","Neha Gokhale; Shalini Iyer; Farida Contractor; Meghna Rao","F-VAR006-CAUSE; DQ-R-15 back within threshold"
"2026-08-28","VAR-006 closed.","MILESTONE","Neha Gokhale; Shalini Iyer","VAR-006 closed 28-Aug-2026"
"2026-09-02","Late arriving SKUs thread. UNKNOWN member volumes quantified for the dashboards.","EM-081","Ritwik Ghosh; Ishaan Bhatt; Meghna Rao; Priya Nair","F-VAR007-CAUSE; 2.0% of lines; 8,140 a month average"
"2026-09-18","Variance tracker v7 saved. VAR-004 owner cell is still stale.","XL-01","Sneha Pillai","F-TOTAL-1385; F-CN-31 in the detail sheet; PII-3 planted as a cell comment; VAR-004 owner shown as F. Contractor"
"2026-09-22","Steering committee, 15:00-15:45 IST, online. Go-live date and dashboard count settled.","T-08","Rajeev Menon; Shalini Iyer; Marijke van der Berg; Vikram Sethi; Ananya Krishnan; Karthik Subramanian; Sneha Pillai","F-GOLIVE-FINAL (12-Nov-2026); F-GOLIVE-REASON2 (EXCLUSIVE); F-DASH9; F-DASH9-REASON; AI-56 to AI-61"
"2026-09-22","Steering committee pack.","DK-06","Ananya Krishnan","F-GOLIVE-FINAL; F-DASH9; F-TOTAL-1385; F-CUTOVER"
"2026-09-22","Recording link stub for the steering committee.","REC-08","Sneha Pillai","none; stub only"
"2026-09-25","Vikram cannot mail a large file and asks for it to go to a personal address.","EM-084","Vikram Sethi; Priya Nair; Meghna Rao","PII-2 planted; phantom file BCPL_reco_Aug26_vikram_v3 (1).xlsx referenced"
"2026-09-28","UAT scheduling mail.","EM-089","Sneha Pillai; Shalini Iyer; Priya Nair; Vikram Sethi; Meghna Rao; drishti-core","F-UAT-FINAL (12-Oct to 06-Nov-2026); 14 scripts; 9 testers"
"2026-09-30","Teams channel export for the data workstream, covering 04-Mar-2026 to 30-Sep-2026.","CH-01","Karthik Subramanian; Ishaan Bhatt; Farida Contractor; Aniruddh Deshpande; Neha Gokhale; Ritwik Ghosh; Sneha Pillai; Priya Nair","F-CHATDEC (EXCLUSIVE, dated 25-Jun-2026 inside the log); F-DEV-STALE; source control finding"
"2026-10-08","Ani replies at 23:51 about what is updating the invoice lines. He confirms a finance procedure exists and that it is old, without dating or timing it.","EM-092","Aniruddh Deshpande; Karthik Subramanian; Farida Contractor; Ananya Krishnan","F-VAR003-AREA; F-GRANT (FIN_PROD holds an UPDATE grant on OMS_PROD.INVOICE_LINE)"
"2026-10-12","UAT begins.","MILESTONE","Shalini Iyer; Priya Nair; Vikram Sethi; Meghna Rao; Ritwik Ghosh","F-UAT-FINAL in force"
"2026-10-16","WhatsApp UAT group export, covering 09-Oct-2026 to 16-Oct-2026.","CH-02","Priya Nair; Vikram Sethi; Ritwik Ghosh; Sneha Pillai; Meghna Rao","PII-1 planted; UAT logistics; 23 defects in week one"
"2026-11-06","UAT ends. Sign-off due.","MILESTONE","Shalini Iyer; Ananya Krishnan","UAT window closes"
"2026-11-07","Cutover weekend begins. Historical reload runs 09 to 11 November.","MILESTONE","Farida Contractor; Ishaan Bhatt; Aniruddh Deshpande","F-CUTOVER"
"2026-11-12","Go-live.","MILESTONE","all","F-GOLIVE-FINAL"
"2026-12-11","Hypercare ends. OBIEE decommission starts 90 days after go-live.","MILESTONE","Ananya Krishnan; Rajeev Menon","end of engagement"
# SYNTHETIC — generated for internal demo. No real entity depicted.
