INVOICE_LINE_ID,INVOICE_ID,INVOICE_NO,INVOICE_DT,LINE_NO,CUST_CODE,DEPOT_CD,SKU_CODE,HSN_CODE,QTY_CS,QTY_EA,UOM,MRP,UNIT_PRICE,GROSS_AMT,SCHEME_ID,SCHEME_DISC_AMT,CASH_DISC_AMT,GST_RATE_PCT,TAX_AMT,NET_AMT,CREATED_BY,CREATED_TS,LAST_UPD_BY,LAST_UPD_DT,ACTIVE_FLG,DELETE_FLAG
512884104,88512320,BCPL/26/AHM/0034047,24-JAN-2026,1,DIST-W-0233,DEP-AHM-03,SUV-DP-500G,3402,59.933,30.985,KG,99.00,75.74,56818.71,,0.00,0.00,18.00,10227.37,67046.08,BATCH_OMS,24-JAN-2026 03:47:21,BATCH_OMS,24-JAN-2026 09:27:21,Y,N
512884107,88512325,BCPL/26/CHD/0034023,12-APR-2025,1,DIST-N-0142,DEP-CHD-07,CHD-SP-4X100G,3401,35.456,15.815,EA,168.00,116.33,51334.92,,0.00,0.00,18.00,9240.29,60575.21,BATCH_OMS,12-APR-2025 06:10:12,BATCH_OMS,12-APR-2025 11:48:12,Y,N
512884110,88512329,BCPL/26/JAI/0034025,15-FEB-2026,1,DIST-N-0187,DEP-JAI-05,TRG-TEA-250G,0902,38.164,15.485,KG,145.00,113.67,53817.40,,0.00,0.00,5.00,2690.87,56508.27,BATCH_OMS,15-FEB-2026 13:52:59,BATCH_OMS,15-FEB-2026 19:42:59,Y,N
512884111,88512329,BCPL/26/JAI/0034025,15-FEB-2026,2,DIST-N-0187,DEP-JAI-05,CHD-SP-4X100G,3401,76.394,43.899,EA,168.00,117.92,113277.14,,0.00,0.00,12.00,13593.26,126870.40,BATCH_OMS,15-FEB-2026 13:52:59,BATCH_OMS,15-FEB-2026 19:34:59,Y,N
512884115,88512331,BCPL/26/MUM/0034040,14-AUG-2025,1,DIST-W-0241,DEP-MUM-01,KSG-HO-100ML,3305,75.347,15.769,LT,92.00,72.80,66971.12,5540,1674.28,0.00,18.00,11753.43,77050.27,BATCH_OMS,14-AUG-2025 09:23:08,BATCH_OMS,14-AUG-2025 15:09:08,Y,N
512884116,88512331,BCPL/26/MUM/0034040,14-AUG-2025,2,DIST-W-0241,DEP-MUM-01,NMB-DB-190G,3402,60.625,16.507,EA,22.00,17.19,12789.48,,0.00,0.00,18.00,2302.11,15091.59,BATCH_OMS,14-AUG-2025 09:23:08,BATCH_OMS,14-AUG-2025 14:57:08,Y,N
512884119,88512331,BCPL/26/MUM/0034040,14-AUG-2025,3,DIST-W-0241,DEP-MUM-01,TRG-TEA-1KG,0902,57.029,29.904,KG,540.00,376.81,269137.30,,0.00,0.00,5.00,13456.86,282594.16,BATCH_OMS,14-AUG-2025 09:23:08,BATCH_OMS,14-AUG-2025 15:02:08,Y,N
512884121,88512335,BCPL/26/LKO/0034011,10-OCT-2025,1,DIST-N-0187,DEP-LKO-06,SUV-DP-500G,3402,96.283,8.564,KG,99.00,74.61,86843.06,,0.00,0.00,18.00,15631.75,102474.81,BATCH_OMS,10-OCT-2025 04:01:11,BATCH_OMS,10-OCT-2025 09:51:11,Y,N
512884125,88512335,BCPL/26/LKO/0034011,10-OCT-2025,2,DIST-N-0187,DEP-LKO-06,SUV-DP-500G,3402,31.811,28.587,KG,99.00,71.53,29350.12,,0.00,0.00,18.00,5283.02,34633.14,SFA_IFACE,10-OCT-2025 04:01:11,SFA_IFACE,10-OCT-2025 09:45:11,Y,N
512884129,88512338,BCPL/26/JAI/0034040,01-OCT-2025,1,DIST-N-0142,DEP-JAI-05,RKS-HW-200ML,3808,32.411,10.780,LT,99.00,74.20,29658.63,,0.00,0.00,18.00,5338.55,34997.18,BATCH_OMS,01-OCT-2025 06:16:48,BATCH_OMS,01-OCT-2025 12:05:48,Y,N
