"id","title","root_cause","impact_inr","owner","status","opened","closed","detected_in"
"VAR-001","FY26 Q1 revenue overstated","MAP_FACT_INVOICE_LINE applied no DELETE_FLAG filter at all, so logically deleted and cancelled invoice lines were loaded into FACT_INVOICE_LINE and counted as revenue. Apr-Jun 2025 overstated. Correct predicate is NVL(DELETE_FLAG,'N')='N'; a plain DELETE_FLAG='N' would have dropped 9.2 million historic rows.","4.2 Cr (INR 4,21,63,910)","Farida Contractor","Closed","2026-03-24","2026-06-12","T-03"
"VAR-002","Month-end boundary drift","DIM_DATE key derived in MAP_FACT_INVOICE_LINE from INVOICE_HEADER.CREATED_TS, which the application server writes in UTC, instead of INVOICE_DT which is a DATE in IST. Invoices raised after 18:30 IST on the last day of a month were keyed into the following month. Fixed under ADR-005 and CHG0021207.","90 L (INR 89,74,200)","Karthik Subramanian","Closed","2026-03-24","2026-06-12","T-03"
"VAR-003","Scheme discount double-count","P_RECALC_SCHEME_DISCOUNT runs post-load. CANON-INTERNAL TRUTH: the FIN_PROD.PKG_MONTH_END driver P_ADJUST_REVENUE is scheduled inside ORION by DBMS_SCHEDULER job FIN_MTHEND_ADJ_NIGHTLY at 02:15 IST, after the 01:00 IST nightly load has already extracted the lines. It additively updates OMS_PROD.INVOICE_LINE.SCHEME_DISC_AMT and bumps LAST_UPD_DT, so the same lines are re-extracted the next night and appended by IKM Oracle Control Append. THIS TEXT MAY NOT BE REPRODUCED IN ANY ARTIFACT EXCEPT AS PERMITTED BY fact_ownership.csv (F-TIMING, F-ADDITIVE: DOC-03 only).","1.7 Cr (INR 1,68,90,000)","Aniruddh Deshpande","Open","2026-03-24","","T-03"
"VAR-004","Duplicate facts on distributor reassignment","DIM_CUSTOMER SCD2 effective-dating bug. On a territory reassignment the closing row's EFF_END_DT is set to the same timestamp as the new row's EFF_START_DT and CURRENT_FLG is left 'Y' on both rows, so a fact row joins to two dimension rows. 61 customers have overlapping effective dates, 18 carry two current rows. Worked example DIST-W-0241 Mahalaxmi Distributors, reassigned 17-Apr-2026 from TER-W-014 to TER-W-011.","65 L (INR 64,80,500)","Ishaan Bhatt","Open","2026-05-19","","CH-01"
"VAR-005","Credit notes absent from warehouse","No credit note fact table was ever built in BCPL_EDW. OMS_PROD.CREDIT_NOTE and CREDIT_NOTE_LINE exist in ORION and the STG_CREDIT_NOTE landing table exists but its mapping was disabled on 14-Nov-2022. Finance nets the revenue-affecting credit notes by hand in Excel each month, so the warehouse revenue line is gross of them. FY26 revenue-affecting value INR 3,11,20,000 across 1,206 documents of type RATE_DIFF and OFF_INV_ADJ.","3.1 Cr (INR 3,11,20,000)","Shalini Iyer","Open","2026-04-24","","DOC-05"
"VAR-006","GST rate change mishandled","BCPL_EDW.TAX_RATE_MASTER is a truncate-and-reload snapshot of FIN_PROD.TAX_RATE_MASTER holding current rates only, with no effective dating, although the source table is effective-dated. The Chandanaa HSN 3401 change from 18 percent to 12 percent effective 01-Oct-2025 was therefore applied retrospectively to Apr-Sep 2025. Replaced by DIM_TAX_RATE under CHG0021339.","40 L (INR 39,60,000)","Neha Gokhale","Closed","2026-06-18","2026-08-28","XL-02"
"VAR-007","Late-arriving SKUs to UNKNOWN member","No late-arriving dimension handling in MAP_FACT_INVOICE_LINE. A SKU invoiced before MAP_DIM_PRODUCT has seen it is routed to the UNKNOWN member at PRODUCT_KEY = -1 and is never re-pointed once the dimension row arrives. Average 8,140 lines a month, peak 11,902 in Jan-2026, 2.0 percent of invoiced volume. Fails DQ-R-04 at 98.0 percent against a 99.5 percent threshold.","2% of invoiced volume (no INR value assigned)","Ritwik Ghosh","Open","2026-06-18","","XL-02"
"VAR-008","Feb duplicate load","LP_DAILY_SALES re-run is not idempotent. After a first failure on Saturday 14-Feb-2026 the load plan was resubmitted manually as session SESS_884012 and IKM Oracle Control Append appended the entire night's invoice lines a second time. The duplicated sales sat in the February figures for three weeks. Batch-id guard added in R2026.07.","2.9 Cr (INR 2,94,10,000)","Farida Contractor","Closed","2026-03-06","2026-04-02","EM-072"
# root_cause values in this file are CANON-INTERNAL TRUTH. An artifact may state a root cause only to the extent fact_ownership.csv permits.
# VAR-004 owner is Ishaan Bhatt from 09-Jul-2026 (EM-055). XL-01_variance_tracker_v7.xlsx still shows 'F. Contractor' and that staleness is deliberate.
# SYNTHETIC — generated for internal demo. No real entity depicted.
