artifact_id,path,type,date,author,title,canon_facts_owned,size_bytes,sha256
CH-01,chat/CH-01_teams_data_workstream.txt,transcript,2026-09-30,Karthik Subramanian,"""Teams channel export for the data workstream, covering 04-Mar-2026 to 30-Sep-2026.""",F-CHATDEC;F-DEV-STALE,44388,d673c1b76b54673e6bc3a4d63d9ca817282339df6104a79fc5dfb29f31329d45
CH-02,chat/CH-02_whatsapp_uat_group.txt,transcript,2026-10-16,Priya Nair,"""WhatsApp UAT group export, covering 09-Oct-2026 to 16-Oct-2026.""",F-PII1,19772,bfe46c6f77e5a584cf483dce5f4d56be712a8194f794805d163e7aa07c1e0ca8
DK-01,decks/DK-01_kickoff_v3_FINAL.pptx,presentation,2026-02-11,Ananya Krishnan,"""Kickoff deck circulated. Slide 4 timeline, slide 9 reporting scope.""",F-DASH12;F-GOLIVE-ORIG;F-UAT-ORIG,82869,a49e0964d3f9ec21a1895b8bc2c15e5f881af83b97dcbf56507269da484bf47a
DK-02,decks/DK-02_discovery_findings.pptx,presentation,2026-03-26,Karthik Subramanian,Discovery findings deck presented to the sponsor group.,F-Q1REV-ORIG;F-TOTAL-970;F-VAR001-CAUSE;F-VAR002-CAUSE;F-VAR008-CAUSE,90828,ff46413fecbb7f4be0aa18c8879c81cc738410f77be19c78a3393923da1e79d9
DK-03,decks/DK-03_variance_rootcause_v2.pptx,presentation,2026-05-05,Karthik Subramanian,"""Variance root cause deck, version 2. Carries the early credit note estimate.""",F-CN-24;F-TOTAL-1275;F-VAR003-AREA,87858,859bc2ff0d285a21e6f03e12c91a8941cafa2b04e9f9e110b92d548fb6c2b20b
DK-04,decks/DK-04_dq_assessment.pptx,presentation,2026-06-18,Neha Gokhale,DQ assessment deck presented.,F-DQSCORE;F-TOTAL-1315;F-VAR004-CAUSE;F-VAR006-CAUSE;F-VAR007-CAUSE,83175,8315db303320ebb1aa6edcb232476b6a8e696e481115844e47c34093c96fe996
DK-05,decks/DK-05_dashboard_wireframes.pptx,presentation,2026-08-07,Ritwik Ghosh,"""Dashboard wireframe pack issued: seven committed, two marked CANDIDATE - not funded.""",F-PBI-REFRESH,91518,d3f3690628de3609962c89293a03b91b3000bd9d3753c60286ae36bd548258cc
DK-06,decks/DK-06_steerco_sep2026.pptx,presentation,2026-09-22,Ananya Krishnan,Steering committee pack.,F-CUTOVER;F-DASH9;F-GOLIVE-FINAL;F-TOTAL-1385,77021,9ad3bf57ed6046cb9cc5891c0dd33239de14ceaba6ca57eaca5caeb84667c33a
DOC-01,docs/DOC-01_orion_oltp_schema_notes.docx,document,2026-03-09,Aniruddh Deshpande,ORION OLTP schema notes issued.,F-DELFLAG;F-DOCTYPE-MIX;F-GRANT;F-PII5,49146,7254c81054f2938bed4e4a5b35044bc162152b59cc5fc67d88eff9ce67a95f4b
DOC-02,docs/DOC-02_odi_job_inventory.docx,document,2026-03-20,Farida Contractor,ODI job inventory issued.,F-LOADSTART;F-MANUAL;F-STG-CN-DORMANT,50149,1d04d41c6e9627eafa3677fed739b800896302c0d1645bdd73d4db9b4ea080e0
