"fact_id","fact_statement","owning_artifact_id","may_also_appear_in","must_not_appear_in","demo_question"
"F-TIMING","P_ADJUST_REVENUE runs at 02:15 IST, after the 01:00 IST nightly load completes. (Full canonical form: FIN_PROD.PKG_MONTH_END.P_ADJUST_REVENUE is scheduled inside ORION by the DBMS_SCHEDULER job FIN_MTHEND_ADJ_NIGHTLY at 02:15 IST every night, after the 01:00 IST nightly load has already extracted the invoice lines.) Within that run P_RECALC_SCHEME_DISCOUNT reaches the OMS_PROD.INVOICE_LINE update at about 02:40 IST and P_POST_GL_SUMMARY posts at about 02:55 IST. FORBIDDEN IN EVERY FORM ELSEWHERE: the time 02:15, the time 02:40, the time 02:55, or any rendering of any of them ('quarter past two', '2.15 am', 'around 2.40', 'twenty to three', '02:40 hrs', 'just after two'); any statement that a procedure runs after the load; any statement that the recalculation rewrites rows that were already extracted; and any ordering claim between the load and the procedure. The load's own 01:00 start and its ~02:05 completion are F-LOADSTART, not this fact, and are shared. CANON.md, schema_canon.sql, procs_canon.sql, procs_canon.md and odi_canon.md are canon-internal and may state it; nothing in _sources/ may.","DOC-03","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-ADDITIVE","P_RECALC_SCHEME_DISCOUNT updates OMS_PROD.INVOICE_LINE.SCHEME_DISC_AMT additively (SET SCHEME_DISC_AMT = NVL(SCHEME_DISC_AMT,0) + v_delta) with no idempotency guard and no run marker, and touching the row bumps LAST_UPD_DT. DOC-03 states this in prose. TECH-PKG carries it as code only, with no schedule and no reference to the nightly load.","DOC-03","TECH-PKG","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-CNGAP","BCPL_EDW has no FACT_CREDIT_NOTE table; Finance nets credit notes manually in Excel. Written ONCE in DOC-05 as a parenthetical aside inside the target model discussion, not as a heading, not as a risk, not as a bullet. Canonical wording to use: '(There is no FACT_CREDIT_NOTE in BCPL_EDW; credit notes were left out of the 2021 build and Finance nets them by hand in Excel each month, so the warehouse revenue line is gross of them.)'","DOC-05","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-DELFLAG","DELETE_FLAG was added in 2019 and pre-Apr-2019 rows were never backfilled, so they are NULL. (Canonical detail: the column was added to INVOICE_HEADER and INVOICE_LINE in release R11.4 deployed 30-Mar-2019 and is populated only for rows created from 01-Apr-2019 onward, which is why 9,215,388 rows are null.) No other artifact may explain WHY the nulls exist. Other artifacts may report that nulls exist and how many.","DOC-01","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-MANUAL","LP_MONTHEND_FIN requires an undocumented manual step before it can be run. (Canonical detail: an operator must set BCPL_EDW.ETL_PARAM.PARAM_VALUE for PARAM_NAME='FIN_PERIOD_OPEN' to the closing period as YYYYMM before the load plan is submitted. There is no validation, no alert and no documentation, and if it is not set the previous period is reloaded.) Other artifacts may mention that ETL_PARAM exists. None may explain this row or the manual step.","DOC-02","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-OWNER4","VAR-004 was reassigned from Farida to Ishaan. Recorded only in EM-055 of 09-Jul-2026. No other artifact may state, imply or contrast that VAR-004 changed hands, name Farida Contractor as its former owner, or note that the tracker is out of date. XL-01 must keep showing 'F. Contractor' in the VAR-004 owner cell.","EM-055","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-CHATDEC","Stock transfer invoices are excluded from FACT_INVOICE_LINE. Agreed casually between Karthik Subramanian and Ishaan Bhatt in the Teams channel on 25-Jun-2026: the MAP_FACT_INVOICE_LINE filter changes from DOC_TYPE <> 'SMP' to DOC_TYPE = 'INV', which drops the 4.7 percent of invoice lines that are inter-depot stock transfer notes (DOC_TYPE='STN'), shipped in release R2026.07 on 08-Jul-2026. It is written down nowhere else: not in XL-04 (saved 10-Jun, fifteen days earlier), not in the ODI export (taken 20-May), not in any minutes, not in any ADR, not in DOC-05.","CH-01","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-GOLIVE-ORIG","Go-live is 15 September 2026. Stated at kickoff. EM-068 may restate it only in order to say it will not hold.","DK-01","T-01; EM-068","T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q1"
"F-GOLIVE-SLIP1","Go-live moves from 15 September 2026 to 30 October 2026. The value 30-Oct-2026 appears in EM-068 and in no other artifact. T-08 and DK-06 refer to 'the current plan date' without stating it.","EM-068","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q1"
"F-GOLIVE-REASON1","Reason for the first slip: the ORION R12.2.9 patch weekend of 12 to 20 September locks the source system, and the VAR-004 and VAR-007 remediation will not be complete, so UAT cannot start before 05-Oct-2026.","EM-068","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q1"
