"canonical_term","variant","used_by","kind"
"distributor","distributor","Ananya Krishnan; Karthik Subramanian; Ishaan Bhatt; Neha Gokhale; Ritwik Ghosh; Sneha Pillai; Shalini Iyer; Priya Nair; Meghna Rao; Rajeev Menon; Farida Contractor; Aniruddh Deshpande","canonical"
"distributor","channel partner","Marijke van der Berg; Wei Lin Tan","synonym"
"distributor","stockist","Vikram Sethi","synonym"
"distributor","party","Aniruddh Deshpande","legacy"
"distributor","the trade","Vikram Sethi; Rajeev Menon","register"
"distributor","DIST code / party code","Aniruddh Deshpande; Ishaan Bhatt","jargon"
"scheme discount","scheme discount","Karthik Subramanian; Ishaan Bhatt; Aniruddh Deshpande; Ananya Krishnan; Priya Nair; Meghna Rao; Ritwik Ghosh; Sneha Pillai","canonical"
"scheme discount","trade promotion accrual","Shalini Iyer","finance"
"scheme discount","promo accrual","Marijke van der Berg; Wei Lin Tan","finance"
"scheme discount","TPR","Vikram Sethi","misuse"
"scheme discount","secondary scheme","Vikram Sethi; Farida Contractor","misuse"
"scheme discount","the scheme amount","Farida Contractor","synonym"
"scheme discount","scheme accrual","Shalini Iyer; Karthik Subramanian","finance"
"scheme discount","discount","Rajeev Menon","register"
"variance","variance","Ananya Krishnan; Karthik Subramanian; Rajeev Menon; Sneha Pillai; Neha Gokhale; Ishaan Bhatt","canonical"
"variance","reconciliation gap","Shalini Iyer","synonym"
"variance","delta","Aniruddh Deshpande; Ishaan Bhatt","jargon"
"variance","mismatch","Vikram Sethi","synonym"
"variance","not matching","Vikram Sethi; Priya Nair","register"
"variance","the walk","Marijke van der Berg","finance"
"variance","bridge","Wei Lin Tan","finance"
"variance","reconciliation","Farida Contractor; Shalini Iyer","synonym"
"primary sales","primary sales","Karthik Subramanian; Ananya Krishnan; Shalini Iyer; Ishaan Bhatt; Neha Gokhale; Sneha Pillai; Ritwik Ghosh","canonical"
"primary sales","sell-in","Wei Lin Tan; Marijke van der Berg","finance"
"primary sales","billing","Vikram Sethi","misuse"
"primary sales","primary","Vikram Sethi; Priya Nair","abbreviation"
"primary sales","despatch sales","Farida Contractor; Aniruddh Deshpande","legacy"
"primary sales","invoiced sales","Shalini Iyer","finance"
"secondary sales","secondary sales","Karthik Subramanian; Ananya Krishnan; Ishaan Bhatt; Neha Gokhale; Sneha Pillai; Ritwik Ghosh; Meghna Rao","canonical"
"secondary sales","sell-out","Marijke van der Berg; Wei Lin Tan","finance"
"secondary sales","off-take","Vikram Sethi","synonym"
"secondary sales","retail off-take","Vikram Sethi","synonym"
"secondary sales","secondary","Vikram Sethi; Priya Nair","abbreviation"
"primary sales vs secondary sales","THEY ARE NOT THE SAME THING. Primary sales is BCPL to distributor and is revenue. Secondary sales is distributor to retailer and is not revenue. Vikram Sethi routinely quotes secondary while everyone else is quoting primary, which is one of the reasons his numbers never match.","Vikram Sethi (the confusion); Karthik Subramanian and Neha Gokhale (the correction)","false_friend"
"ODI mapping","mapping","Karthik Subramanian; Ishaan Bhatt; Neha Gokhale; Sneha Pillai","canonical"
"ODI mapping","interface","Farida Contractor","legacy"
"ODI mapping","the ETL","Shalini Iyer; Vikram Sethi; Rajeev Menon","register"
"ODI mapping","the code","Aniruddh Deshpande","register"
